"name";"score"
"org.joda.time.tz.ZoneInfoCompiler$Zone.<init>(Ljava/lang/String;Ljava/util/StringTokenizer;)V";0
"org.joda.time.Period.plusSeconds(I)Lorg/joda/time/Period;";0
"org.joda.time.format.ISODateTimeFormat.literalTElement()Lorg/joda/time/format/DateTimeFormatter;";0
"org.joda.time.chrono.LimitChronology$LimitDurationField.<init>(Lorg/joda/time/chrono/LimitChronology;Lorg/joda/time/DurationField;)V";0
"org.joda.time.Hours.getFieldType()Lorg/joda/time/DurationFieldType;";0
"org.joda.time.base.AbstractDuration.isEqual(Lorg/joda/time/ReadableDuration;)Z";0
"org.joda.time.chrono.EthiopicChronology.getApproxMillisAtEpochDividedByTwo()J";0
"org.joda.time.TimeOfDay$Property.withMaximumValue()Lorg/joda/time/TimeOfDay;";0
"org.joda.time.base.BaseDuration.toPeriod(Lorg/joda/time/PeriodType;Lorg/joda/time/Chronology;)Lorg/joda/time/Period;";0
"org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone.equals(Ljava/lang/Object;)Z";0
"org.joda.time.convert.ConverterSet.size()I";0
"org.joda.time.YearMonth.fromDateFields(Ljava/util/Date;)Lorg/joda/time/YearMonth;";0
"org.joda.time.MockZone.<init>(JII)V";0
"org.joda.time.convert.NullConverter.<clinit>()V";0
"org.joda.time.DateTimeFieldType.access$2100()Lorg/joda/time/DateTimeFieldType;";0
"org.joda.time.Weeks.isGreaterThan(Lorg/joda/time/Weeks;)Z";0
"org.joda.time.format.ISODateTimeFormat.weekyearElement()Lorg/joda/time/format/DateTimeFormatter;";0
"org.joda.time.chrono.BaseChronology.get(Lorg/joda/time/ReadablePartial;J)[I";0
"org.joda.time.field.LenientDateTimeField.getInstance(Lorg/joda/time/DateTimeField;Lorg/joda/time/Chronology;)Lorg/joda/time/DateTimeField;";0
"org.joda.time.DateMidnight.dayOfWeek()Lorg/joda/time/DateMidnight$Property;";0
"org.joda.time.Instant.parse(Ljava/lang/String;)Lorg/joda/time/Instant;";0
"org.joda.time.LocalDate.dayOfYear()Lorg/joda/time/LocalDate$Property;";0
"org.joda.time.LocalDateTime.equals(Ljava/lang/Object;)Z";0
"org.joda.time.format.ISODateTimeFormat.basicTimeNoMillis()Lorg/joda/time/format/DateTimeFormatter;";0
"org.joda.time.LocalTime$Property.getField()Lorg/joda/time/DateTimeField;";0
"org.joda.time.chrono.BasicDayOfYearDateTimeField.<init>(Lorg/joda/time/chrono/BasicChronology;Lorg/joda/time/DurationField;)V";0
"org.joda.time.DurationFieldType$StandardDurationFieldType.getField(Lorg/joda/time/Chronology;)Lorg/joda/time/DurationField;";0
"org.joda.time.TimeOfDay$Property.getField()Lorg/joda/time/DateTimeField;";0
"org.joda.time.chrono.GregorianChronology.getAverageMillisPerYear()J";0
"org.joda.time.MutableDateTime.copy()Lorg/joda/time/MutableDateTime;";0
"org.joda.time.DurationFieldType.toString()Ljava/lang/String;";0
"org.joda.time.chrono.BasicChronology.getDaysInYearMax()I";0
"org.joda.time.Seconds.getFieldType()Lorg/joda/time/DurationFieldType;";0
"org.joda.time.DurationFieldType.millis()Lorg/joda/time/DurationFieldType;";0
"org.joda.time.chrono.AssembledChronology.dayOfWeek()Lorg/joda/time/DateTimeField;";0
"org.joda.time.chrono.GJChronology$CutoverField.getMinimumValue(Lorg/joda/time/ReadablePartial;[I)I";0
"org.joda.time.DateMidnight.minusMonths(I)Lorg/joda/time/DateMidnight;";0
"org.joda.time.format.ISODateTimeFormat.checkNotStrictISO(Ljava/util/Collection;Z)V";0
"org.joda.time.YearMonth$Property.addToCopy(I)Lorg/joda/time/YearMonth;";0
"org.joda.time.DateTime.withField(Lorg/joda/time/DateTimeFieldType;I)Lorg/joda/time/DateTime;";0
"org.joda.time.format.DateTimeFormatter.getChronology()Lorg/joda/time/Chronology;";0
"org.joda.time.field.UnsupportedDurationField.<init>(Lorg/joda/time/DurationFieldType;)V";0
"org.joda.time.field.UnsupportedDateTimeField.getName()Ljava/lang/String;";0
"org.joda.time.format.PeriodFormatterBuilder.minimumPrintedDigits(I)Lorg/joda/time/format/PeriodFormatterBuilder;";0
"org.joda.time.Period.toStandardWeeks()Lorg/joda/time/Weeks;";0
"org.joda.time.Interval.<init>(JJLorg/joda/time/Chronology;)V";0
"org.joda.time.YearMonth.now(Lorg/joda/time/DateTimeZone;)Lorg/joda/time/YearMonth;";0
"org.joda.time.base.BasePartial.getValues()[I";0
"org.joda.time.MutableDateTime.addSeconds(I)V";0
"org.joda.time.YearMonth$Property.setCopy(Ljava/lang/String;Ljava/util/Locale;)Lorg/joda/time/YearMonth;";0
"org.joda.time.base.AbstractPartial.isSupported(Lorg/joda/time/DateTimeFieldType;)Z";0
"org.joda.time.MockNullZoneChronology.getZone()Lorg/joda/time/DateTimeZone;";0
"org.joda.time.Weeks.toStandardSeconds()Lorg/joda/time/Seconds;";0
"org.joda.time.format.DateTimeFormatterBuilder$TimeZoneName.print(JLorg/joda/time/DateTimeZone;Ljava/util/Locale;)Ljava/lang/String;";0
"org.joda.time.MutablePeriod.addMinutes(I)V";0
"org.joda.time.chrono.AssembledChronology$Fields.isSupported(Lorg/joda/time/DateTimeField;)Z";0
"org.joda.time.PeriodType.equals(Ljava/lang/Object;)Z";0
"org.joda.time.base.AbstractInterval.toPeriod(Lorg/joda/time/PeriodType;)Lorg/joda/time/Period;";0
"org.joda.time.field.ImpreciseDateTimeField.getDurationField()Lorg/joda/time/DurationField;";0
"org.joda.time.YearMonth.now()Lorg/joda/time/YearMonth;";0
"org.joda.time.format.ISODateTimeFormat.basicDate()Lorg/joda/time/format/DateTimeFormatter;";0
"org.joda.time.tz.FixedDateTimeZone.getOffsetFromLocal(J)I";0
"org.joda.time.field.OffsetDateTimeField.getOffset()I";0
"org.joda.time.chrono.GJChronology$CutoverField.<init>(Lorg/joda/time/chrono/GJChronology;Lorg/joda/time/DateTimeField;Lorg/joda/time/DateTimeField;J)V";0
"org.joda.time.Period.minusMinutes(I)Lorg/joda/time/Period;";0
"org.joda.time.field.ImpreciseDateTimeField.<init>(Lorg/joda/time/DateTimeFieldType;J)V";0
"org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone.writeTo(Ljava/io/DataOutput;)V";0
"org.joda.time.YearMonthDay$Property.addToCopy(I)Lorg/joda/time/YearMonthDay;";0
"org.joda.time.chrono.ZonedChronology$ZonedDateTimeField.getDurationField()Lorg/joda/time/DurationField;";0
"org.joda.time.Months.minus(I)Lorg/joda/time/Months;";0
"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;)V";0
"org.joda.time.format.DateTimeFormatterBuilder.appendHourOfHalfday(I)Lorg/joda/time/format/DateTimeFormatterBuilder;";0
"org.joda.time.DateMidnight$Property.writeObject(Ljava/io/ObjectOutputStream;)V";0
"org.joda.time.PeriodType.minutes()Lorg/joda/time/PeriodType;";0
"org.joda.time.base.BaseDateTime.<init>(Ljava/lang/Object;Lorg/joda/time/DateTimeZone;)V";0
"org.joda.time.MutablePeriod.<init>(Ljava/lang/Object;Lorg/joda/time/PeriodType;)V";0
"org.joda.time.MutablePeriod.parse(Ljava/lang/String;Lorg/joda/time/format/PeriodFormatter;)Lorg/joda/time/MutablePeriod;";0
"org.joda.time.chrono.BasicDayOfYearDateTimeField.getMaximumValue(Lorg/joda/time/ReadablePartial;[I)I";0
"org.joda.time.format.PeriodFormatterBuilder$Composite.<init>(Ljava/util/List;)V";0
"org.joda.time.LocalDateTime.year()Lorg/joda/time/LocalDateTime$Property;";0
"org.joda.time.format.DateTimeFormatterBuilder$Fraction.getFractionData(JLorg/joda/time/DateTimeField;)[J";0
"org.joda.time.field.MillisDurationField.hashCode()I";0
"org.joda.time.field.AbstractPartialFieldProperty.getName()Ljava/lang/String;";0
"org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField.getMillis(IJ)J";0
"org.joda.time.MutableDateTime.addDays(I)V";0
"org.joda.time.format.ISODateTimeFormat.dateByOrdinal(Lorg/joda/time/format/DateTimeFormatterBuilder;Ljava/util/Collection;ZZ)Z";0
"org.joda.time.format.ISODateTimeFormat.time()Lorg/joda/time/format/DateTimeFormatter;";0
"org.joda.time.Period.parse(Ljava/lang/String;)Lorg/joda/time/Period;";0
"org.joda.time.chrono.IslamicChronology.getMinYear()I";0
"org.joda.time.DateTime.weekyear()Lorg/joda/time/DateTime$Property;";0
"org.joda.time.tz.DateTimeZoneBuilder.addCutover(ICIIIZI)Lorg/joda/time/tz/DateTimeZoneBuilder;";0
"org.joda.time.DateTime.dayOfYear()Lorg/joda/time/DateTime$Property;";0
"org.joda.time.format.DateTimeParserBucket.access$302(Lorg/joda/time/format/DateTimeParserBucket;I)I";0
"org.joda.time.Months.parseMonths(Ljava/lang/String;)Lorg/joda/time/Months;";0
"org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone.<init>(Ljava/lang/String;[J[I[I[Ljava/lang/String;Lorg/joda/time/tz/DateTimeZoneBuilder$DSTZone;)V";0
"org.joda.time.Period.minusSeconds(I)Lorg/joda/time/Period;";0
"org.joda.time.format.PeriodFormatterBuilder$PluralAffix.printTo(Ljava/lang/StringBuffer;I)V";0
"org.joda.time.field.DelegatedDateTimeField.getMinimumValue()I";0
"org.joda.time.format.DateTimeFormatterBuilder.appendFixedSignedDecimal(Lorg/joda/time/DateTimeFieldType;I)Lorg/joda/time/format/DateTimeFormatterBuilder;";0
"org.joda.time.base.AbstractDateTime.toGregorianCalendar()Ljava/util/GregorianCalendar;";0
"org.joda.time.tz.UTCProvider.getZone(Ljava/lang/String;)Lorg/joda/time/DateTimeZone;";0
"org.joda.time.field.ScaledDurationField.getMillis(J)J";0
"org.joda.time.LocalDateTime.secondOfMinute()Lorg/joda/time/LocalDateTime$Property;";0
"org.joda.time.chrono.GregorianChronology.assemble(Lorg/joda/time/chrono/AssembledChronology$Fields;)V";0
"org.joda.time.Duration.<init>(Lorg/joda/time/ReadableInstant;Lorg/joda/time/ReadableInstant;)V";0
"org.joda.time.format.PeriodFormatter.getLocale()Ljava/util/Locale;";0
"org.joda.time.IllegalFieldValueException.getIllegalNumberValue()Ljava/lang/Number;";0
"org.joda.time.field.PreciseDurationField.getUnitMillis()J";0
"org.joda.time.LocalDate.parse(Ljava/lang/String;Lorg/joda/time/format/DateTimeFormatter;)Lorg/joda/time/LocalDate;";0
"org.joda.time.field.MillisDurationField.isPrecise()Z";0
"org.joda.time.Period.plusDays(I)Lorg/joda/time/Period;";0
"org.joda.time.format.PeriodFormatterBuilder$FieldFormatter.<init>(Lorg/joda/time/format/PeriodFormatterBuilder$FieldFormatter;Lorg/joda/time/format/PeriodFormatterBuilder$PeriodFieldAffix;)V";0
"org.joda.time.field.UnsupportedDateTimeField.getDifference(JJ)I";0
"org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField.getRangeDurationField()Lorg/joda/time/DurationField;";0
"org.joda.time.field.BaseDurationField.compareTo(Ljava/lang/Object;)I";0
"org.joda.time.Seconds.negated()Lorg/joda/time/Seconds;";0
"org.joda.time.base.BasePartial.<init>(J)V";0
"org.joda.time.Instant.withDurationAdded(Lorg/joda/time/ReadableDuration;I)Lorg/joda/time/Instant;";0
"org.joda.time.Partial$Property.setCopy(Ljava/lang/String;Ljava/util/Locale;)Lorg/joda/time/Partial;";0
"org.joda.time.PeriodType.withSecondsRemoved()Lorg/joda/time/PeriodType;";0
"org.joda.time.tz.DateTimeZoneBuilder.addTransition(Ljava/util/ArrayList;Lorg/joda/time/tz/DateTimeZoneBuilder$Transition;)Z";0
"org.joda.time.Weeks.isLessThan(Lorg/joda/time/Weeks;)Z";0
"org.joda.time.LocalDate.year()Lorg/joda/time/LocalDate$Property;";0
"org.joda.time.IllegalFieldValueException.getDateTimeFieldType()Lorg/joda/time/DateTimeFieldType;";0
"org.joda.time.chrono.GJChronology$LinkedDurationField.getDifference(JJ)I";0
"org.joda.time.YearMonthDay.getDayOfMonth()I";0
"org.joda.time.LocalDateTime.yearOfEra()Lorg/joda/time/LocalDateTime$Property;";0
"org.joda.time.Partial.getFormatter()Lorg/joda/time/format/DateTimeFormatter;";0
